date,h0,h1,h2,h3,h4,h5
2021-09-18,1.3170983e-33,6.464172e-13,6.8189414e-23,2.1774861e-16,4.637662e-11,8.3284524e-13
2020-10-20,1.0192019e-23,5.108661e-07,2.92642e-23,1.0075548e-15,0.9391358,1.8233231e-14
2019-11-03,1.1795247e-15,1.7680365e-12,1.2257485e-16,2.7554553e-14,1.0,0.0009825957
2023-07-12,4.359307e-22,0.00040204576,6.473987e-11,8.50732e-10,1.1549062e-13,1.4105873e-10
2021-02-10,8.000837e-11,0.99990284,6.1799496e-11,1.0,1.0,0.99912935
2022-06-11,3.4738575e-23,3.9523773e-15,1.6532306e-15,1.7260374e-18,0.011455737,0.9998462
2023-09-06,7.1245116e-26,2.2120332e-09,1.8458609e-22,1.4661031e-12,1.4514873e-12,1.1642235e-14
2024-04-27,6.259393e-08,0.9746174,0.9999989,1.4186141e-05,1.0,1.0
2021-12-12,0.9915358,0.03951016,0.021778855,0.99976856,1.0,1.0
2021-12-16,0.9999652,0.34921557,0.9618447,0.99919564,1.0,1.0
2020-07-13,4.607838e-24,1.0356977e-09,2.9706391e-12,5.911952e-14,1.0158248e-12,1.1931533e-07
2019-05-28,1.8906327e-26,0.8310132,2.7734055e-09,2.1099041e-16,1.4147107e-06,1.0
2019-10-14,1.451149e-24,6.732476e-10,1.1606105e-20,2.303632e-13,0.98646,2.0422776e-11
2023-03-23,1.6781613e-18,0.999627,0.04284585,0.99609,1.3727438e-05,1.0
2021-01-10,8.861265e-09,0.99999964,1.5947073e-07,0.99999976,1.0,1.0
2024-08-20,1.10953926e-26,2.2545281e-07,7.6256126e-16,3.1562995e-06,4.2561957e-11,1.0698595e-12
2021-08-16,1.2546896e-27,1.0970411e-06,1.9530233e-18,1.6900874e-15,3.191613e-11,1.1081487e-13
2021-08-15,1.4244379e-33,1.8190337e-10,1.8120547e-19,1.9011173e-13,6.1091453e-13,8.185679e-12
2023-03-12,1.8939856e-15,0.08920634,0.041233122,1.0,0.99997115,1.0
2024-02-03,7.112078e-10,0.99999976,5.6397203e-06,0.71838933,0.991295,1.0
2024-01-04,0.99994075,0.8957426,0.00017557472,0.99999917,1.0,0.9999988
2019-12-17,0.99980384,0.999987,0.9999442,0.99716717,1.0,1.0
2024-06-07,1.0850766e-21,2.852136e-09,1.1682476e-10,4.2546963e-14,0.9327794,1.0
2019-08-14,7.9491047e-22,2.2273402e-11,1.6528997e-11,2.0020096e-14,2.9350733e-06,1.0562811e-07
2020-12-07,0.9771442,0.99999607,1.9135938e-07,0.99851984,1.0,1.0
2019-11-16,0.8113002,0.0003207805,5.5843886e-14,0.00089746376,1.0,0.026478678
2022-09-02,1.0175217e-27,7.1283294e-15,3.9796333e-18,1.4832626e-17,2.7773782e-11,4.1838985e-12
2023-10-30,5.1654356e-25,7.533295e-08,6.1492854e-26,6.0846345e-12,0.000602136,2.482322e-16
2024-07-24,8.1124184e-36,1.6379758e-12,1.1138768e-20,1.7581891e-13,2.8286653e-14,2.5641725e-10
2021-09-07,8.871704e-34,7.2742745e-12,1.0162433e-16,3.9461944e-14,4.624323e-15,2.4163716e-11
2023-07-28,2.6587553e-25,6.428378e-10,1.2993996e-14,1.9253478e-13,3.325443e-15,5.4292794e-12
2024-11-04,7.114565e-28,9.056138e-09,4.4328723e-23,1.2408436e-08,6.4182393e-07,1.6729819e-09
2024-04-15,3.1635263e-08,0.9992949,0.9999999,0.00019432689,1.0,1.0
2020-12-14,0.9999652,0.9916443,2.1783439e-05,0.9907107,1.0,0.9999995
